Analizing File:  tuklib_cpucores.c
        0.33 real         0.04 user         0.01 sys
        0.30 real         0.03 user         0.01 sys
Analizing File:  vli_size.c
        0.36 real         0.04 user         0.01 sys
        0.29 real         0.03 user         0.01 sys
        0.30 real         0.03 user         0.01 sys
        0.31 real         0.04 user         0.01 sys
        0.28 real         0.03 user         0.01 sys
        0.29 real         0.03 user         0.01 sys
        0.29 real         0.03 user         0.01 sys
        0.47 real         0.04 user         0.02 sys
        0.37 real         0.04 user         0.01 sys
        0.29 real         0.04 user         0.01 sys
Analizing File:  delta_common.c
        0.34 real         0.06 user         0.01 sys
        0.32 real         0.05 user         0.00 sys
        0.32 real         0.05 user         0.01 sys
        0.31 real         0.05 user         0.01 sys
        0.37 real         0.05 user         0.01 sys
        0.33 real         0.05 user         0.01 sys
        0.35 real         0.06 user         0.01 sys
        0.35 real         0.05 user         0.01 sys
        0.35 real         0.06 user         0.01 sys
        0.32 real         0.04 user         0.01 sys
Analizing File:  delta_decoder.c
        0.33 real         0.05 user         0.01 sys
        0.33 real         0.05 user         0.01 sys
        0.31 real         0.05 user         0.01 sys
        0.33 real         0.05 user         0.01 sys
        0.32 real         0.05 user         0.01 sys
        0.31 real         0.05 user         0.01 sys
        0.32 real         0.05 user         0.00 sys
        0.31 real         0.05 user         0.01 sys
        0.37 real         0.06 user         0.01 sys
        0.34 real         0.06 user         0.01 sys
Analizing File:  delta_encoder.c
        0.36 real         0.06 user         0.01 sys
        0.34 real         0.07 user         0.01 sys
        0.38 real         0.06 user         0.01 sys
        0.34 real         0.06 user         0.01 sys
        0.37 real         0.06 user         0.01 sys
        0.41 real         0.07 user         0.01 sys
        0.34 real         0.06 user         0.01 sys
        0.39 real         0.06 user         0.01 sys
        0.40 real         0.06 user         0.01 sys
        0.38 real         0.06 user         0.01 sys
Analizing File:  lz_decoder.c
        0.42 real         0.09 user         0.01 sys
        0.44 real         0.09 user         0.01 sys
        0.42 real         0.09 user         0.01 sys
        0.43 real         0.09 user         0.01 sys
        0.44 real         0.10 user         0.01 sys
        0.47 real         0.10 user         0.01 sys
        0.51 real         0.10 user         0.01 sys
        0.42 real         0.09 user         0.01 sys
        0.45 real         0.10 user         0.01 sys
        0.51 real         0.10 user         0.01 sys
Analizing File:  lz_encoder.c
        0.64 real         0.18 user         0.01 sys
        0.52 real         0.13 user         0.01 sys
        0.57 real         0.15 user         0.01 sys
        0.60 real         0.14 user         0.01 sys
        0.52 real         0.13 user         0.01 sys
        0.62 real         0.16 user         0.01 sys
        0.56 real         0.14 user         0.01 sys
        0.57 real         0.14 user         0.01 sys
        0.53 real         0.14 user         0.01 sys
        0.54 real         0.13 user         0.01 sys
Analizing File:  lz_encoder_mf.c
        0.71 real         0.23 user         0.01 sys
        0.76 real         0.27 user         0.01 sys
        0.71 real         0.23 user         0.01 sys
        0.74 real         0.23 user         0.01 sys
        0.69 real         0.23 user         0.01 sys
        0.70 real         0.23 user         0.01 sys
        0.71 real         0.24 user         0.01 sys
        0.71 real         0.24 user         0.01 sys
        0.72 real         0.23 user         0.01 sys
        0.71 real         0.23 user         0.01 sys
Analizing File:  fastpos_table.c
        0.69 real         0.03 user         0.01 sys
        0.70 real         0.03 user         0.00 sys
        0.69 real         0.03 user         0.00 sys
        0.68 real         0.03 user         0.00 sys
        0.73 real         0.03 user         0.01 sys
        0.77 real         0.04 user         0.01 sys
        0.69 real         0.03 user         0.00 sys
        0.73 real         0.03 user         0.01 sys
        0.71 real         0.03 user         0.01 sys
        0.67 real         0.03 user         0.00 sys
Analizing File:  fastpos_tablegen.c
        0.18 real         0.04 user         0.01 sys
        0.18 real         0.04 user         0.00 sys
        0.20 real         0.04 user         0.01 sys
        0.18 real         0.04 user         0.01 sys
        0.20 real         0.04 user         0.01 sys
        0.19 real         0.04 user         0.00 sys
        0.20 real         0.04 user         0.01 sys
        0.21 real         0.05 user         0.01 sys
        0.20 real         0.04 user         0.01 sys
        0.21 real         0.04 user         0.01 sys
Analizing File:  lzma2_decoder.c
        0.44 real         0.09 user         0.01 sys
        0.45 real         0.09 user         0.01 sys
        0.41 real         0.08 user         0.01 sys
        0.47 real         0.09 user         0.01 sys
        0.41 real         0.08 user         0.01 sys
        0.46 real         0.10 user         0.01 sys
        0.41 real         0.08 user         0.01 sys
        0.41 real         0.08 user         0.01 sys
        0.44 real         0.09 user         0.01 sys
        0.51 real         0.10 user         0.01 sys
Analizing File:  lzma2_encoder.c
        0.48 real         0.11 user         0.01 sys
        0.47 real         0.11 user         0.01 sys
        0.56 real         0.11 user         0.01 sys
        0.51 real         0.11 user         0.01 sys
        0.56 real         0.15 user         0.01 sys
        0.67 real         0.13 user         0.01 sys
        0.55 real         0.11 user         0.01 sys
        0.48 real         0.11 user         0.01 sys
        0.50 real         0.12 user         0.01 sys
        0.48 real         0.11 user         0.01 sys
Analizing File:  lzma_decoder.c
        7.97 real         6.67 user         0.06 sys
        7.57 real         6.45 user         0.05 sys
        8.72 real         7.12 user         0.06 sys
        7.43 real         6.41 user         0.03 sys
        7.36 real         6.33 user         0.03 sys
        7.70 real         6.51 user         0.05 sys
        7.91 real         6.63 user         0.06 sys
       10.06 real         7.28 user         0.10 sys
        7.94 real         6.60 user         0.06 sys
        7.98 real         6.69 user         0.07 sys
Analizing File:  lzma_encoder.c
