Analizing File:  DynaLoader.c
        7.74 real         1.56 user         0.05 sys
        4.96 real         1.26 user         0.04 sys
        4.89 real         1.16 user         0.03 sys
        5.08 real         1.23 user         0.04 sys
        5.84 real         1.30 user         0.04 sys
        4.96 real         1.26 user         0.03 sys
        5.53 real         1.17 user         0.03 sys
        5.46 real         1.19 user         0.03 sys
        5.52 real         1.21 user         0.03 sys
        5.38 real         1.26 user         0.06 sys
Analizing File:  pp_hot.c
        3.67 real         0.76 user         0.02 sys
        3.54 real         0.74 user         0.02 sys
        3.45 real         0.72 user         0.04 sys
        3.67 real         0.76 user         0.02 sys
        3.59 real         0.75 user         0.02 sys
        3.50 real         0.77 user         0.02 sys
        3.94 real         0.72 user         0.01 sys
        3.77 real         0.78 user         0.02 sys
        4.05 real         0.74 user         0.02 sys
        4.14 real         0.82 user         0.04 sys
Analizing File:  pp_pack.c
        3.95 real         0.71 user         0.02 sys
        3.05 real         0.61 user         0.01 sys
        3.09 real         0.68 user         0.02 sys
        3.06 real         0.61 user         0.01 sys
        3.20 real         0.61 user         0.03 sys
        2.93 real         0.65 user         0.02 sys
        3.06 real         0.59 user         0.01 sys
        3.40 real         0.68 user         0.03 sys
        2.71 real         0.60 user         0.01 sys
        2.76 real         0.61 user         0.01 sys
Analizing File:  pp_sort.c
        1.83 real         0.24 user         0.01 sys
        1.82 real         0.26 user         0.01 sys
        1.94 real         0.27 user         0.01 sys
        1.71 real         0.25 user         0.01 sys
        1.71 real         0.25 user         0.01 sys
        1.91 real         0.24 user         0.01 sys
        1.79 real         0.24 user         0.01 sys
        1.76 real         0.25 user         0.01 sys
        1.76 real         0.24 user         0.01 sys
        1.78 real         0.24 user         0.01 sys
Analizing File:  pp_sys.c
        3.45 real         0.71 user         0.02 sys
        3.63 real         0.77 user         0.02 sys
        3.65 real         0.72 user         0.02 sys
        3.30 real         0.71 user         0.02 sys
        4.07 real         0.81 user         0.02 sys
        3.33 real         0.70 user         0.03 sys
        3.81 real         0.78 user         0.02 sys
        3.34 real         0.71 user         0.01 sys
        3.58 real         0.77 user         0.02 sys
        3.70 real         0.79 user         0.03 sys
Analizing File:  reentr.c
        1.36 real         0.04 user         0.00 sys
        1.25 real         0.03 user         0.00 sys
