Analizing File:  DynaLoader.c
        1.54 real         0.05 user         0.00 sys
        1.16 real         0.04 user         0.00 sys
        1.20 real         0.04 user         0.00 sys
        1.11 real         0.04 user         0.00 sys
Analizing File:  perly.c
        2.55 real         0.28 user         0.01 sys
        2.18 real         0.23 user         0.01 sys
        2.63 real         0.23 user         0.01 sys
        2.28 real         0.23 user         0.01 sys
        2.23 real         0.23 user         0.01 sys
        2.40 real         0.23 user         0.01 sys
        2.50 real         0.23 user         0.01 sys
        2.49 real         0.24 user         0.01 sys
        2.92 real         0.25 user         0.01 sys
        2.30 real         0.23 user         0.01 sys
Analizing File:  pp.c
        5.29 real         1.29 user         0.02 sys
        5.15 real         1.29 user         0.02 sys
        5.20 real         1.28 user         0.02 sys
        6.12 real         1.40 user         0.05 sys
        5.08 real         1.28 user         0.02 sys
        6.32 real         1.35 user         0.03 sys
        6.48 real         1.42 user         0.04 sys
        5.88 real         1.44 user         0.04 sys
        7.04 real         1.59 user         0.04 sys
        6.38 real         1.84 user         0.05 sys
Analizing File:  pp_ctl.c
        7.25 real         1.60 user         0.04 sys
        4.95 real         1.14 user         0.04 sys
        4.83 real         1.17 user         0.03 sys
        4.93 real         1.24 user         0.04 sys
        5.04 real         1.23 user         0.03 sys
        5.61 real         1.15 user         0.03 sys
        5.33 real         1.27 user         0.03 sys
        5.67 real         1.17 user         0.02 sys
        5.27 real         1.16 user         0.05 sys
        5.53 real         1.22 user         0.03 sys
Analizing File:  pp_hot.c
        4.02 real         0.79 user         0.02 sys
        3.36 real         0.72 user         0.01 sys
        3.68 real         0.78 user         0.02 sys
        3.67 real         0.76 user         0.04 sys
        3.52 real         0.76 user         0.02 sys
        3.54 real         0.74 user         0.02 sys
        3.49 real         0.74 user         0.02 sys
        4.12 real         0.79 user         0.02 sys
        3.62 real         0.77 user         0.02 sys
        4.82 real         0.80 user         0.04 sys
Analizing File:  pp_pack.c
        3.20 real         0.58 user         0.02 sys
        2.83 real         0.55 user         0.02 sys
        2.86 real         0.51 user         0.03 sys
        2.86 real         0.56 user         0.02 sys
        2.79 real         0.57 user         0.02 sys
        2.81 real         0.55 user         0.01 sys
        3.10 real         0.58 user         0.04 sys
        3.87 real         0.61 user         0.02 sys
        2.74 real         0.54 user         0.01 sys
        2.66 real         0.52 user         0.02 sys
Analizing File:  pp_sort.c
        1.82 real         0.25 user         0.01 sys
        1.72 real         0.24 user         0.01 sys
        1.83 real         0.25 user         0.01 sys
        1.69 real         0.24 user         0.01 sys
        1.68 real         0.24 user         0.01 sys
        1.84 real         0.26 user         0.01 sys
        1.85 real         0.28 user         0.01 sys
        1.83 real         0.26 user         0.01 sys
        1.77 real         0.24 user         0.01 sys
        1.77 real         0.24 user         0.01 sys
Analizing File:  pp_sys.c
        3.57 real         0.77 user         0.02 sys
        3.48 real         0.77 user         0.02 sys
        3.62 real         0.75 user         0.02 sys
        3.85 real         0.72 user         0.04 sys
        3.75 real         0.78 user         0.02 sys
        3.70 real         0.71 user         0.02 sys
        3.20 real         0.69 user         0.01 sys
        3.45 real         0.71 user         0.02 sys
        3.35 real         0.71 user         0.02 sys
        4.16 real         0.72 user         0.02 sys
Analizing File:  reentr.c
        1.26 real         0.04 user         0.00 sys
        1.28 real         0.03 user         0.00 sys
