Analizing File:  DynaLoader.c
Analizing File:  mathoms.c
        4.49 real         0.41 user         0.03 sys
        4.69 real         0.40 user         0.03 sys
        4.80 real         0.40 user         0.03 sys
        4.96 real         0.51 user         0.06 sys
        5.11 real         0.41 user         0.03 sys
        4.51 real         0.53 user         0.02 sys
        5.58 real         0.46 user         0.03 sys
        4.46 real         0.52 user         0.02 sys
        5.30 real         0.53 user         0.03 sys
        5.53 real         0.47 user         0.04 sys
Analizing File:  mg.c
        6.62 real         1.29 user         0.03 sys
        6.71 real         1.18 user         0.09 sys
        7.31 real         1.29 user         0.04 sys
        6.34 real         1.26 user         0.03 sys
        6.39 real         1.26 user         0.03 sys
       11.99 real         1.60 user         0.09 sys
       13.01 real         2.16 user         0.09 sys
       10.52 real         2.05 user         0.07 sys
       10.38 real         1.97 user         0.06 sys
       10.14 real         2.03 user         0.07 sys
Analizing File:  mro_core.c
        8.22 real         1.58 user         0.12 sys
       13.62 real         1.74 user         0.06 sys
       15.15 real         1.45 user         0.07 sys
       10.95 real         1.51 user         0.07 sys
        6.94 real         1.24 user         0.05 sys
        6.81 real         1.07 user         0.03 sys
        2.79 real         0.45 user         0.02 sys
       11.92 real         1.48 user         0.05 sys
       16.90 real         1.43 user         0.05 sys
        8.58 real         1.16 user         0.05 sys
Analizing File:  numeric.c
        6.40 real         0.58 user         0.03 sys
        1.68 real         0.21 user         0.01 sys
        1.55 real         0.21 user         0.01 sys
        1.75 real         0.22 user         0.01 sys
        1.72 real         0.20 user         0.01 sys
        1.61 real         0.22 user         0.01 sys
        3.22 real         0.22 user         0.01 sys
        1.75 real         0.22 user         0.01 sys
        1.89 real         0.23 user         0.01 sys
        1.66 real         0.21 user         0.01 sys
Analizing File:  op.c
        8.48 real         3.11 user         0.05 sys
       10.17 real         3.41 user         0.08 sys
        8.79 real         3.30 user         0.07 sys
        8.10 real         3.04 user         0.03 sys
        8.99 real         3.43 user         0.08 sys
        8.79 real         3.17 user         0.07 sys
        9.32 real         3.12 user         0.05 sys
        8.05 real         3.03 user         0.04 sys
        8.03 real         3.05 user         0.04 sys
        7.70 real         2.98 user         0.03 sys
Analizing File:  pad.c
        2.19 real         0.34 user         0.01 sys
        2.52 real         0.37 user         0.01 sys
        2.33 real         0.36 user         0.01 sys
        2.24 real         0.33 user         0.01 sys
        2.13 real         0.35 user         0.01 sys
        2.07 real         0.35 user         0.01 sys
        2.34 real         0.32 user         0.01 sys
        2.04 real         0.33 user         0.01 sys
        2.20 real         0.32 user         0.01 sys
        2.16 real         0.34 user         0.01 sys
Analizing File:  perl.c
        3.62 real         0.55 user         0.04 sys
        4.34 real         0.60 user         0.02 sys
        3.92 real         0.59 user         0.03 sys
        3.67 real         0.56 user         0.02 sys
        4.01 real         0.53 user         0.02 sys
        3.42 real         0.52 user         0.01 sys
        3.93 real         0.56 user         0.02 sys
        3.43 real         0.51 user         0.03 sys
        4.03 real         0.59 user         0.02 sys
        4.30 real         0.55 user         0.01 sys
Analizing File:  perlapi.c
        1.21 real         0.03 user         0.03 sys
        1.18 real         0.03 user         0.00 sys
        1.20 real         0.03 user         0.02 sys
        1.28 real         0.04 user         0.01 sys
        1.66 real         0.03 user         0.00 sys
        1.09 real         0.02 user         0.00 sys
        1.09 real         0.02 user         0.00 sys
        1.08 real         0.03 user         0.00 sys
        1.11 real         0.02 user         0.00 sys
        1.14 real         0.03 user         0.00 sys
Analizing File:  perlio.c
        2.64 real         0.52 user         0.01 sys
        2.68 real         0.51 user         0.01 sys
        2.51 real         0.50 user         0.01 sys
        2.54 real         0.50 user         0.01 sys
        2.74 real         0.55 user         0.01 sys
        3.07 real         0.56 user         0.02 sys
        3.03 real         0.65 user         0.03 sys
        2.83 real         0.65 user         0.03 sys
        2.73 real         0.56 user         0.02 sys
        2.93 real         0.53 user         0.02 sys
Analizing File:  perlmain.c
        1.42 real         0.04 user         0.00 sys
        1.51 real         0.04 user         0.00 sys
        1.38 real         0.05 user         0.00 sys
        1.11 real         0.04 user         0.00 sys
        1.10 real         0.04 user         0.00 sys
        1.19 real         0.04 user         0.00 sys
        1.39 real         0.04 user         0.00 sys
        1.22 real         0.05 user         0.00 sys
        1.16 real         0.04 user         0.00 sys
        1.15 real         0.04 user         0.00 sys
Analizing File:  perly.c
        2.75 real         0.62 user         0.01 sys
        3.32 real         0.70 user         0.01 sys
        2.75 real         0.66 user         0.02 sys
        2.59 real         0.60 user         0.01 sys
        2.67 real         0.61 user         0.01 sys
        2.77 real         0.61 user         0.01 sys
        2.90 real         0.59 user         0.01 sys
        3.02 real         0.64 user         0.01 sys
        2.67 real         0.63 user         0.01 sys
        2.55 real         0.60 user         0.01 sys
Analizing File:  pp.c
        5.77 real         1.80 user         0.02 sys
        5.71 real         1.84 user         0.03 sys
        6.16 real         1.90 user         0.04 sys
        6.57 real         1.87 user         0.03 sys
        5.76 real         1.81 user         0.03 sys
        5.63 real         1.80 user         0.02 sys
        7.06 real         2.07 user         0.05 sys
        6.21 real         1.86 user         0.03 sys
        6.25 real         1.96 user         0.03 sys
        8.98 real         2.58 user         0.07 sys
Analizing File:  pp_ctl.c
        7.58 real         1.84 user         0.06 sys
        7.82 real         1.92 user         0.06 sys
        6.82 real         1.94 user         0.04 sys
        6.29 real         1.88 user         0.04 sys
        6.50 real         1.87 user         0.04 sys
        5.95 real         1.84 user         0.04 sys
        5.55 real         1.80 user         0.05 sys
        5.66 real         1.79 user         0.05 sys
        6.07 real         1.85 user         0.04 sys
        5.49 real         1.84 user         0.04 sys
Analizing File:  pp_hot.c
        4.11 real         1.12 user         0.02 sys
        3.96 real         1.11 user         0.02 sys
        3.69 real         1.04 user         0.02 sys
        4.14 real         1.05 user         0.02 sys
        3.80 real         1.07 user         0.02 sys
        4.26 real         1.15 user         0.02 sys
        4.16 real         1.07 user         0.02 sys
        4.07 real         1.15 user         0.03 sys
        4.74 real         1.15 user         0.05 sys
        4.59 real         1.09 user         0.02 sys
Analizing File:  pp_pack.c
        8.29 real         3.82 user         0.06 sys
        6.18 real         3.74 user         0.04 sys
        6.35 real         3.79 user         0.05 sys
        6.45 real         3.87 user         0.05 sys
        6.41 real         3.73 user         0.04 sys
        6.34 real         3.69 user         0.05 sys
        6.00 real         3.69 user         0.04 sys
        6.72 real         3.76 user         0.05 sys
        5.73 real         3.60 user         0.02 sys
        5.66 real         3.54 user         0.02 sys
Analizing File:  pp_sort.c
        2.24 real         0.41 user         0.01 sys
        2.21 real         0.40 user         0.01 sys
        3.07 real         0.48 user         0.01 sys
        1.84 real         0.38 user         0.01 sys
        1.88 real         0.38 user         0.01 sys
        2.35 real         0.38 user         0.01 sys
        1.90 real         0.39 user         0.01 sys
        2.15 real         0.42 user         0.03 sys
        1.93 real         0.40 user         0.01 sys
        2.03 real         0.40 user         0.01 sys
Analizing File:  pp_sys.c
        3.49 real         0.85 user         0.02 sys
        4.16 real         0.91 user         0.05 sys
        3.72 real         0.89 user         0.04 sys
        3.53 real         0.87 user         0.02 sys
        3.68 real         0.84 user         0.03 sys
        3.43 real         0.83 user         0.01 sys
        3.70 real         0.88 user         0.02 sys
        3.50 real         0.83 user         0.01 sys
        4.28 real         0.99 user         0.03 sys
        4.33 real         0.91 user         0.02 sys
Analizing File:  reentr.c
        1.30 real         0.03 user         0.00 sys
        1.88 real         0.03 user         0.00 sys
