Analizing File:  DynaLoader.c
Analizing File:  gv.c
        3.01 real         0.64 user         0.01 sys
        3.62 real         0.69 user         0.02 sys
        3.27 real         0.65 user         0.02 sys
        3.64 real         0.63 user         0.02 sys
        3.02 real         0.61 user         0.01 sys
        3.00 real         0.61 user         0.01 sys
        3.00 real         0.62 user         0.01 sys
        3.03 real         0.60 user         0.01 sys
        3.11 real         0.66 user         0.02 sys
        3.07 real         0.63 user         0.02 sys
Analizing File:  hv.c
        2.59 real         0.48 user         0.01 sys
        2.89 real         0.50 user         0.01 sys
        2.87 real         0.47 user         0.01 sys
        2.55 real         0.48 user         0.01 sys
        2.59 real         0.48 user         0.01 sys
        2.81 real         0.49 user         0.02 sys
        2.55 real         0.48 user         0.01 sys
        2.57 real         0.47 user         0.01 sys
        2.58 real         0.48 user         0.01 sys
        2.63 real         0.48 user         0.01 sys
Analizing File:  keywords.c
        1.80 real         0.26 user         0.01 sys
        1.79 real         0.26 user         0.01 sys
        1.93 real         0.27 user         0.01 sys
        1.78 real         0.26 user         0.01 sys
        1.93 real         0.26 user         0.01 sys
        1.78 real         0.26 user         0.01 sys
        2.16 real         0.26 user         0.01 sys
        1.78 real         0.26 user         0.01 sys
        2.35 real         0.33 user         0.01 sys
        1.75 real         0.26 user         0.01 sys
Analizing File:  locale.c
        1.11 real         0.03 user         0.00 sys
        1.11 real         0.03 user         0.00 sys
        1.08 real         0.03 user         0.00 sys
        1.08 real         0.03 user         0.00 sys
        1.15 real         0.03 user         0.01 sys
        1.22 real         0.04 user         0.01 sys
        1.22 real         0.04 user         0.01 sys
        1.40 real         0.04 user         0.00 sys
        1.81 real         0.04 user         0.01 sys
        1.15 real         0.03 user         0.00 sys
Analizing File:  mathoms.c
        1.87 real         0.23 user         0.01 sys
        1.85 real         0.21 user         0.01 sys
        1.84 real         0.21 user         0.01 sys
        1.85 real         0.20 user         0.01 sys
        1.84 real         0.21 user         0.01 sys
        1.85 real         0.21 user         0.01 sys
        1.85 real         0.21 user         0.01 sys
        1.87 real         0.21 user         0.01 sys
        1.87 real         0.21 user         0.01 sys
        1.91 real         0.21 user         0.01 sys
Analizing File:  mg.c
        2.55 real         0.47 user         0.01 sys
        2.51 real         0.45 user         0.01 sys
        2.50 real         0.45 user         0.01 sys
        2.51 real         0.45 user         0.01 sys
        2.51 real         0.45 user         0.01 sys
        2.52 real         0.47 user         0.01 sys
        2.50 real         0.45 user         0.01 sys
        2.52 real         0.45 user         0.01 sys
        2.50 real         0.45 user         0.01 sys
        2.52 real         0.45 user         0.01 sys
Analizing File:  mro_core.c
        2.06 real         0.32 user         0.01 sys
        1.99 real         0.31 user         0.01 sys
        1.99 real         0.32 user         0.01 sys
        2.00 real         0.32 user         0.01 sys
        2.00 real         0.32 user         0.01 sys
        2.00 real         0.32 user         0.01 sys
        2.00 real         0.32 user         0.01 sys
        1.99 real         0.32 user         0.01 sys
        2.01 real         0.32 user         0.01 sys
        2.00 real         0.33 user         0.01 sys
Analizing File:  numeric.c
        1.49 real         0.16 user         0.01 sys
        1.48 real         0.15 user         0.01 sys
        1.50 real         0.16 user         0.01 sys
        1.50 real         0.16 user         0.01 sys
        1.47 real         0.15 user         0.01 sys
        1.48 real         0.16 user         0.01 sys
        1.48 real         0.15 user         0.01 sys
        1.48 real         0.16 user         0.00 sys
        1.48 real         0.16 user         0.00 sys
        1.48 real         0.16 user         0.01 sys
Analizing File:  op.c
        6.55 real         1.70 user         0.03 sys
        6.54 real         1.71 user         0.04 sys
        6.46 real         1.70 user         0.03 sys
        6.72 real         1.70 user         0.03 sys
        6.57 real         1.74 user         0.03 sys
        6.64 real         1.69 user         0.03 sys
        6.54 real         1.70 user         0.03 sys
        6.45 real         1.70 user         0.03 sys
        6.46 real         1.70 user         0.03 sys
        6.50 real         1.69 user         0.03 sys
Analizing File:  pad.c
        1.95 real         0.29 user         0.01 sys
        1.92 real         0.29 user         0.01 sys
        1.90 real         0.28 user         0.01 sys
        1.92 real         0.28 user         0.01 sys
        1.92 real         0.29 user         0.01 sys
        1.91 real         0.28 user         0.01 sys
