Analizing File:  DynaLoader.c
        3.89 real         0.02 user         0.00 sys
        3.97 real         0.02 user         0.00 sys
        3.98 real         0.02 user         0.00 sys
        4.04 real         0.03 user         0.03 sys
        4.00 real         0.03 user         0.00 sys
        4.01 real         0.02 user         0.03 sys
        3.92 real         0.03 user         0.00 sys
        3.96 real         0.03 user         0.00 sys
        3.90 real         0.03 user         0.00 sys
        4.00 real         0.02 user         0.00 sys
Analizing File:  re_exec.c
       22.49 real        18.21 user         0.07 sys
       22.93 real        18.64 user         0.07 sys
       22.52 real        18.21 user         0.07 sys
       22.72 real        18.38 user         0.09 sys
       23.03 real        18.73 user         0.08 sys
       30.99 real        20.13 user         0.23 sys
       24.25 real        18.95 user         0.17 sys
       27.26 real        19.44 user         0.17 sys
       26.31 real        19.44 user         0.16 sys
       27.93 real        19.39 user         0.19 sys
Analizing File:  globals.c
        1.95 real         0.14 user         0.00 sys
        1.98 real         0.14 user         0.01 sys
        2.03 real         0.14 user         0.02 sys
        2.64 real         0.17 user         0.01 sys
        3.20 real         0.17 user         0.01 sys
        2.75 real         0.14 user         0.00 sys
        2.24 real         0.16 user         0.01 sys
        2.00 real         0.14 user         0.01 sys
        2.55 real         0.19 user         0.02 sys
        2.56 real         0.19 user         0.01 sys
Analizing File:  gv.c
        4.97 real         1.47 user         0.03 sys
        3.95 real         1.35 user         0.03 sys
        4.74 real         1.45 user         0.03 sys
        3.69 real         1.30 user         0.01 sys
        3.68 real         1.30 user         0.01 sys
        3.68 real         1.30 user         0.01 sys
        3.65 real         1.29 user         0.01 sys
        4.08 real         1.35 user         0.02 sys
        3.75 real         1.31 user         0.02 sys
        3.72 real         1.30 user         0.01 sys
Analizing File:  hv.c
        2.60 real         0.59 user         0.01 sys
        3.29 real         0.74 user         0.02 sys
        2.66 real         0.60 user         0.01 sys
        2.69 real         0.61 user         0.01 sys
        3.34 real         0.64 user         0.01 sys
        3.61 real         0.62 user         0.02 sys
        2.75 real         0.61 user         0.02 sys
        2.76 real         0.62 user         0.02 sys
        2.60 real         0.59 user         0.01 sys
        2.94 real         0.60 user         0.02 sys
Analizing File:  keywords.c
        2.02 real         0.36 user         0.01 sys
        1.87 real         0.34 user         0.01 sys
        1.83 real         0.34 user         0.01 sys
        1.97 real         0.37 user         0.01 sys
