FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
SDL_hidapi_xboxone.c,SendControllerInit-0,set(['1']),set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOneBluetooth_HandleButtons-5,set(['22']),set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOneBluetooth_HandleStatePacket-4,set(['26']),set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOneBluetooth_HandleStatePacket-1,"set(['18', '26'])",set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOneBluetooth_HandleStatePacket-0,"set(['18', '26'])",set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOneBluetooth_HandleStatePacket-3,"set(['18', '26'])",set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOneBluetooth_HandleStatePacket-2,"set(['18', '26'])",set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOne_HandleStatePacket-5,set(['39']),set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOne_HandleStatePacket-6,set(['39']),set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOne_HandleStatePacket-0,set(['39']),set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOne_HandleStatePacket-1,set(['39']),set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOne_HandleStatePacket-2,set(['39']),set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOne_HandleStatePacket-3,set(['39']),set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOneBluetooth_HandleButtons-0,set(['22']),set([])
SDL_blendline.c,SDL_BlendLine_RGB4-27,"set(['504', '36', '110'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB4-26,"set(['504', '110'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB4-25,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB4-24,"set(['504', '110'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB4-23,"set(['504', '502', '503', '501'])",set([])
