Analizing File:  tga.c
        2.12 real         0.65 user         0.01 sys
        2.29 real         0.64 user         0.01 sys
        2.13 real         0.64 user         0.01 sys
        2.11 real         0.65 user         0.01 sys
        2.16 real         0.68 user         0.01 sys
        2.11 real         0.64 user         0.01 sys
Analizing File:  quantize.c
        1.72 real         0.38 user         0.01 sys
        1.71 real         0.38 user         0.01 sys
        1.71 real         0.39 user         0.01 sys
        1.74 real         0.39 user         0.01 sys
        1.71 real         0.38 user         0.01 sys
        1.71 real         0.38 user         0.01 sys
        1.71 real         0.38 user         0.01 sys
        1.70 real         0.38 user         0.01 sys
        1.72 real         0.38 user         0.01 sys
        1.71 real         0.38 user         0.01 sys
Analizing File:  quantum-export.c
        2.22 real         0.58 user         0.02 sys
        1.96 real         0.50 user         0.01 sys
        1.94 real         0.48 user         0.01 sys
        1.97 real         0.50 user         0.01 sys
        1.99 real         0.51 user         0.01 sys
        1.95 real         0.50 user         0.01 sys
        2.76 real         0.48 user         0.01 sys
        1.95 real         0.47 user         0.01 sys
        1.89 real         0.46 user         0.01 sys
        1.89 real         0.47 user         0.01 sys
Analizing File:  quantum-import.c
        2.13 real         0.54 user         0.01 sys
        2.14 real         0.54 user         0.01 sys
        2.12 real         0.54 user         0.01 sys
        2.15 real         0.55 user         0.02 sys
        2.16 real         0.54 user         0.01 sys
        2.13 real         0.54 user         0.01 sys
