Analizing File:  alias.c
Analizing File:  combine-stack-adj.c
        3.12 real         0.24 user         0.01 sys
        3.14 real         0.24 user         0.01 sys
        2.91 real         0.23 user         0.01 sys
        2.65 real         0.22 user         0.01 sys
        2.68 real         0.22 user         0.01 sys
        2.67 real         0.22 user         0.01 sys
        2.77 real         0.23 user         0.01 sys
        2.76 real         0.23 user         0.01 sys
        2.90 real         0.24 user         0.01 sys
        2.76 real         0.22 user         0.01 sys
Analizing File:  combine.c
       19.39 real         6.44 user         0.14 sys
       14.91 real         5.83 user         0.11 sys
       16.85 real         5.72 user         0.11 sys
       17.68 real         5.80 user         0.11 sys
       14.81 real         5.67 user         0.06 sys
       16.10 real         5.77 user         0.10 sys
       16.57 real         5.74 user         0.10 sys
Analizing File:  concat.c
        0.53 real         0.06 user         0.01 sys
        0.44 real         0.06 user         0.01 sys
        0.34 real         0.06 user         0.01 sys
        0.34 real         0.06 user         0.01 sys
        0.35 real         0.06 user         0.01 sys
        0.32 real         0.05 user         0.01 sys
        0.32 real         0.05 user         0.01 sys
        0.30 real         0.05 user         0.00 sys
        0.42 real         0.06 user         0.01 sys
        0.35 real         0.06 user         0.01 sys
Analizing File:  convert.c
        2.03 real         0.39 user         0.01 sys
        1.96 real         0.38 user         0.01 sys
        1.95 real         0.38 user         0.01 sys
        1.94 real         0.38 user         0.01 sys
        1.93 real         0.37 user         0.01 sys
        1.94 real         0.38 user         0.01 sys
        1.95 real         0.38 user         0.01 sys
        1.92 real         0.38 user         0.01 sys
        2.04 real         0.37 user         0.01 sys
        1.95 real         0.38 user         0.01 sys
Analizing File:  coverage.c
        3.23 real         0.42 user         0.01 sys
        3.21 real         0.41 user         0.01 sys
        3.16 real         0.40 user         0.01 sys
        3.15 real         0.41 user         0.01 sys
        3.15 real         0.41 user         0.01 sys
        3.21 real         0.41 user         0.01 sys
        3.17 real         0.41 user         0.01 sys
        3.18 real         0.41 user         0.01 sys
        3.40 real         0.41 user         0.01 sys
        3.25 real         0.41 user         0.01 sys
Analizing File:  cp-demangle.c
        1.88 real         0.73 user         0.02 sys
        1.88 real         0.73 user         0.02 sys
        1.85 real         0.72 user         0.02 sys
        1.86 real         0.73 user         0.02 sys
        1.85 real         0.72 user         0.02 sys
        2.11 real         0.83 user         0.02 sys
        1.95 real         0.75 user         0.02 sys
        1.86 real         0.72 user         0.02 sys
        1.88 real         0.72 user         0.02 sys
        1.88 real         0.73 user         0.02 sys
Analizing File:  cp-demint.c
        0.33 real         0.07 user         0.01 sys
        0.31 real         0.06 user         0.01 sys
        0.31 real         0.06 user         0.01 sys
        0.31 real         0.06 user         0.01 sys
        0.31 real         0.06 user         0.01 sys
        0.31 real         0.06 user         0.01 sys
        0.31 real         0.06 user         0.00 sys
        0.31 real         0.06 user         0.01 sys
        0.31 real         0.06 user         0.01 sys
        0.31 real         0.06 user         0.01 sys
Analizing File:  cplus-dem.c
        2.07 real         0.82 user         0.02 sys
        2.33 real         0.99 user         0.02 sys
        2.09 real         0.83 user         0.02 sys
        2.05 real         0.81 user         0.02 sys
        2.06 real         0.81 user         0.02 sys
        2.06 real         0.82 user         0.02 sys
        2.06 real         0.81 user         0.02 sys
        2.12 real         0.87 user         0.02 sys
        2.07 real         0.82 user         0.02 sys
        2.11 real         0.82 user         0.02 sys
Analizing File:  cpp_charset.c
        1.73 real         0.40 user         0.01 sys
